price,latitude,longitude,num_bathrooms,num_bedrooms,num_floors,property_type,tenure
180000,53.421375,-2.973414,2,4,0,terraced house,freehold
60000,53.428505,-2.97743,1,3,0,flat,leasehold
100000,53.420223,-2.97619,1,2,0,flat,leasehold
102995,53.4264,-2.96518,1,3,0,terraced house,freehold
60000,53.423096,-2.975898,1,2,0,flat,leasehold
65000,53.42622,-2.958474,1,3,0,terraced house,freehold
160000,53.428856,-2.965292,1,3,0,semi-detached house,freehold
99000,53.422855,-2.975916,1,2,0,flat,leasehold
60000,53.42852,-2.977429,1,3,0,flat,leasehold
32500,53.428505,-2.97743,1,3,0,flat,leasehold
77950,53.423203,-2.975144,1,1,0,flat,leasehold
585000,53.401314,-2.975423,2,4,0,town house,freehold
140000,53.4089,-2.983963,1,1,0,flat,leasehold
102995,53.379894,-1.473409,1,0,0,studio,leasehold
120000,53.378685,-1.480369,0,1,0,flat,leasehold
98950,53.379894,-1.473409,1,0,0,studio,leasehold
116000,53.385098,-1.468189,1,1,0,flat,leasehold
106500,53.37704,-1.479878,1,2,0,flat,leasehold
87500,53.3849,-1.472957,1,1,0,flat,leasehold
95850,53.384834,-1.472957,1,1,0,flat,leasehold
140000,53.38436,-1.470633,1,2,0,flat,leasehold
152500,53.38482,-1.472837,2,2,0,flat,leasehold
119000,53.379185,-1.470892,1,1,0,flat,leasehold
165000,53.379135,-1.48077,1,2,0,flat,leasehold
600000,50.999275,0.013124,2,3,0,flat,share_of_freehold
295000,53.37886,-1.504309,2,2,0,flat,leasehold
114000,53.3775,-1.508009,1,1,0,flat,leasehold
600000,53.369923,-1.497521,1,5,0,semi-detached house,freehold
130000,53.37825,-1.487455,1,2,0,flat,leasehold
625000,53.377396,-1.503076,1,4,0,semi-detached house,freehold
355000,53.37563,-1.508334,2,2,0,flat,leasehold
100000,53.373463,-1.496801,1,1,0,flat,leasehold
190000,53.37912,-1.50885,1,2,0,flat,leasehold
125000,53.38187,-1.499108,1,1,0,flat,share_of_freehold
365000,53.38023,-1.498124,1,3,0,semi-detached house,freehold
71500,53.381287,-1.506985,1,3,0,terraced house,leasehold
299995,53.379326,-1.503868,3,3,0,semi-detached house,leasehold
190000,53.38093,-1.507656,1,3,0,end terrace house,freehold
409995,53.380524,-1.503824,2,2,0,flat,leasehold
425000,53.37563,-1.508334,2,2,0,flat,leasehold
900000,53.37563,-1.508334,3,3,0,flat,leasehold
450000,53.373547,-1.501704,2,4,0,detached house,freehold
369995,53.380135,-1.504209,3,4,0,semi-detached house,leasehold
295000,53.37886,-1.504309,2,2,0,flat,leasehold
114000,53.3775,-1.508009,1,1,0,flat,leasehold
600000,53.369923,-1.497521,1,5,0,semi-detached house,freehold
130000,53.37825,-1.487455,1,2,0,flat,leasehold
625000,53.377396,-1.503076,1,4,0,semi-detached house,freehold
355000,53.37563,-1.508334,2,2,0,flat,leasehold
100000,53.373463,-1.496801,1,1,0,flat,leasehold
155000,53.368465,-1.495342,1,2,0,terraced house,leasehold
125000,53.38187,-1.499108,1,1,0,flat,share_of_freehold
365000,53.38023,-1.498124,1,3,0,semi-detached house,freehold
299995,53.379326,-1.503868,3,3,0,semi-detached house,leasehold
159000,53.37017,-1.490311,1,5,0,terraced house,leasehold
150000,53.36823,-1.49652,1,3,0,terraced house,leasehold
409995,53.380524,-1.503824,2,2,0,flat,leasehold
425000,53.37563,-1.508334,2,2,0,flat,leasehold
900000,53.37563,-1.508334,3,3,0,flat,leasehold
450000,53.373547,-1.501704,2,4,0,detached house,freehold
150000,53.36801,-1.468236,1,2,0,terraced house,freehold
205500,53.370613,-1.476349,2,2,0,flat,leasehold
108000,53.370613,-1.476349,1,1,0,flat,leasehold
110950,53.370613,-1.476349,1,1,0,flat,leasehold
109995,53.370613,-1.476349,1,1,0,flat,leasehold
231000,53.3639,-1.467309,1,2,0,detached house,freehold
73000,53.36603,-1.427414,1,3,0,end terrace house,leasehold
104950,53.370613,-1.476349,1,1,0,flat,freehold
113000,53.374466,-1.447281,1,3,0,terraced house,freehold
200000,53.370613,-1.476349,2,2,0,flat,leasehold
90000,53.37554,-1.456823,1,2,0,flat,leasehold
190000,53.35689,-1.448639,1,3,0,semi-detached house,freehold
200000,53.37128,-1.445508,1,3,0,semi-detached house,freehold
52000,53.366325,-1.423473,1,3,0,terraced house,leasehold
150000,53.36801,-1.468236,1,2,0,terraced house,freehold
205500,53.370613,-1.476349,2,2,0,flat,leasehold
108000,53.370613,-1.476349,1,1,0,flat,leasehold
110950,53.370613,-1.476349,1,1,0,flat,leasehold
109995,53.370613,-1.476349,1,1,0,flat,leasehold
231000,53.3639,-1.467309,1,2,0,detached house,freehold
73000,53.36603,-1.427414,1,3,0,end terrace house,leasehold
104950,53.370613,-1.476349,1,1,0,flat,freehold
113000,53.374466,-1.447281,1,3,0,terraced house,freehold
